,OID_,Long,Lat,f_nf,rh,max15,hrs2,hrs72,gw,dtw,twi,elv,WGF6,AWDR,AWND,td_3l,td_3h,td_3av,datetime
0,14,-76.286798,36.967086,0,0,0,0,2.467071533,2.553514957,620.164,3.82799,1.2655,10.625,71.878,7.049,-0.88,0.635,-0.244,2017-08-09 16:00:000
1,491,-76.256555,36.906347,0,0,0,0,2.313385487,2.878991127,134.258,19.6809,3.05249,10.625,71.878,7.049,-0.88,0.635,-0.244,2017-08-09 16:00:001
2,759,-76.223054,36.884542,0,0,0,0,2.569063663,1.698471427,2542.69,4.01893,10.8874,10.625,71.878,7.049,-0.88,0.635,-0.244,2017-08-09 16:00:002
3,881,-76.193111,36.877229,0,0,0,0,2.451599121,2.67112565,977.721,3.80623,6.02502,10.625,71.878,7.049,-0.88,0.635,-0.244,2017-08-09 16:00:003
4,913,-76.285726,36.874886,0,0,0,0,2.700628042,2.781568527,1478.3,7.91483,2.33985,10.625,71.878,7.049,-0.88,0.635,-0.244,2017-08-09 16:00:004
5,929,-76.206759,36.874315,0,0,0,0,2.55038476,2.395432472,307.438,3.47204,3.43659,10.625,71.878,7.049,-0.88,0.635,-0.244,2017-08-09 16:00:005
6,964,-76.2871,36.871846,0,0,0,0,2.700623989,2.722205639,2315.79,9.93094,2.41917,10.625,71.878,7.049,-0.88,0.635,-0.244,2017-08-09 16:00:006
7,990,-76.291932,36.868845,0,0,0,0,2.719171047,2.569379091,4171.66,3.60121,2.77149,10.625,71.878,7.049,-0.88,0.635,-0.244,2017-08-09 16:00:007
8,1016,-76.299262,36.865871,0,0,0,0,2.768005133,2.336697578,2392.21,6.77923,2.00067,10.625,71.878,7.049,-0.88,0.635,-0.244,2017-08-09 16:00:008
9,1208,-76.298182,36.854069,0,0,0,0,2.602151871,1.8984586,55.6777,18.0869,-0.9,10.625,71.878,7.049,-0.88,0.635,-0.244,2017-08-09 16:00:009
10,1211,-76.273869,36.854424,0,0,0,0,2.607614756,2.483088732,1060.58,3.37751,1.73154,10.625,71.878,7.049,-0.88,0.635,-0.244,2017-08-09 16:00:0010
11,1318,-76.191896,36.846022,0,0,0,0,2.382549047,3.359110594,775.73,4.97851,7.98963,10.625,71.878,7.049,-0.88,0.635,-0.244,2017-08-09 16:00:0011
12,1460,-76.286798,36.967086,0,0,0,0,0.928065002,2.517119646,620.164,3.82799,1.2655,3.467,134.825,1.997,-1.104,0.495,-0.447,2017-08-11 05:00:0012
13,1937,-76.256555,36.906347,0,0,0,0,0.585345685,2.813443422,134.258,19.6809,3.05249,3.467,134.825,1.997,-1.104,0.495,-0.447,2017-08-11 05:00:0013
14,2205,-76.223054,36.884542,0,0,0,0,0.618511558,1.597982764,2542.69,4.01893,10.8874,3.467,134.825,1.997,-1.104,0.495,-0.447,2017-08-11 05:00:0014
15,2327,-76.193111,36.877229,0,0,0,0,0.603330791,2.618624449,977.721,3.80623,6.02502,3.467,134.825,1.997,-1.104,0.495,-0.447,2017-08-11 05:00:0015
16,2359,-76.285726,36.874886,0,0,0,0,0.775458395,2.424161196,1478.3,7.91483,2.33985,3.467,134.825,1.997,-1.104,0.495,-0.447,2017-08-11 05:00:0016
17,2375,-76.206759,36.874315,0,0,0,0,0.606708407,2.325194836,307.438,3.47204,3.43659,3.467,134.825,1.997,-1.104,0.495,-0.447,2017-08-11 05:00:0017
18,2410,-76.2871,36.871846,0,0,0,0,0.778126717,2.420362949,2315.79,9.93094,2.41917,3.467,134.825,1.997,-1.104,0.495,-0.447,2017-08-11 05:00:0018
19,2436,-76.291932,36.868845,0,0,0,0,0.795117319,2.330275297,4171.66,3.60121,2.77149,3.467,134.825,1.997,-1.104,0.495,-0.447,2017-08-11 05:00:0019
20,2462,-76.299262,36.865871,0,0,0,0,0.823991239,2.16583395,2392.21,6.77923,2.00067,3.467,134.825,1.997,-1.104,0.495,-0.447,2017-08-11 05:00:0020
21,2654,-76.298182,36.854069,0,0,0,0,0.771129251,1.830730796,55.6777,18.0869,-0.9,3.467,134.825,1.997,-1.104,0.495,-0.447,2017-08-11 05:00:0021
22,2657,-76.273869,36.854424,0,0,0,0,0.715333521,2.33331728,1060.58,3.37751,1.73154,3.467,134.825,1.997,-1.104,0.495,-0.447,2017-08-11 05:00:0022
23,2764,-76.191896,36.846022,0,0,0,0,0.516185701,3.370212793,775.73,4.97851,7.98963,3.467,134.825,1.997,-1.104,0.495,-0.447,2017-08-11 05:00:0023
24,2906,-76.286798,36.967086,0,0,0,0,0.536022782,2.547283411,620.164,3.82799,1.2655,10.536,156.895,5.274,0.274,1.765,1.127,2017-08-11 15:00:0024
25,3383,-76.256555,36.906347,0,0,0,0,0.323137075,2.869100809,134.258,19.6809,3.05249,10.536,156.895,5.274,0.274,1.765,1.127,2017-08-11 15:00:0025
26,3651,-76.223054,36.884542,0,0,0,0,0.31247443,1.642134666,2542.69,4.01893,10.8874,10.536,156.895,5.274,0.274,1.765,1.127,2017-08-11 15:00:0026
27,3773,-76.193111,36.877229,0,0,0,0,0.259790301,2.668107748,977.721,3.80623,6.02502,10.536,156.895,5.274,0.274,1.765,1.127,2017-08-11 15:00:0027
