,OID_,Long,Lat,f_nf,rh,max15,hrs2,hrs72,gw,dtw,twi,elv,WGF6,AWDR,AWND,td_3l,td_3h,td_3av,datetime
0,14,-76.286798,36.967086,0,0.0,0.0,0.0,2.467071533,2.553514957,620.164,3.8279900000000002,1.2655,10.625,71.878,7.0489999999999995,-0.88,0.635,-0.244,2017-08-09 16:00:000
1,491,-76.256555,36.906347,0,0.0,0.0,0.0,2.3133854869999997,2.878991127,134.25799999999998,19.6809,3.05249,10.625,71.878,7.0489999999999995,-0.88,0.635,-0.244,2017-08-09 16:00:001
2,759,-76.223054,36.884541999999996,0,0.0,0.0,0.0,2.569063663,1.6984714269999999,2542.69,4.01893,10.8874,10.625,71.878,7.0489999999999995,-0.88,0.635,-0.244,2017-08-09 16:00:002
3,881,-76.193111,36.877229,0,0.0,0.0,0.0,2.451599121,2.67112565,977.721,3.8062300000000002,6.02502,10.625,71.878,7.0489999999999995,-0.88,0.635,-0.244,2017-08-09 16:00:003
4,913,-76.285726,36.874886,0,0.0,0.0,0.0,2.700628042,2.7815685269999997,1478.3,7.91483,2.33985,10.625,71.878,7.0489999999999995,-0.88,0.635,-0.244,2017-08-09 16:00:004
5,929,-76.20675899999999,36.874315,0,0.0,0.0,0.0,2.55038476,2.395432472,307.438,3.4720400000000002,3.4365900000000003,10.625,71.878,7.0489999999999995,-0.88,0.635,-0.244,2017-08-09 16:00:005
6,964,-76.2871,36.871846000000005,0,0.0,0.0,0.0,2.700623989,2.722205639,2315.79,9.93094,2.4191700000000003,10.625,71.878,7.0489999999999995,-0.88,0.635,-0.244,2017-08-09 16:00:006
7,990,-76.29193199999999,36.868845,0,0.0,0.0,0.0,2.7191710469999997,2.569379091,4171.66,3.60121,2.77149,10.625,71.878,7.0489999999999995,-0.88,0.635,-0.244,2017-08-09 16:00:007
8,1016,-76.299262,36.865871000000006,0,0.0,0.0,0.0,2.768005133,2.3366975780000003,2392.21,6.77923,2.00067,10.625,71.878,7.0489999999999995,-0.88,0.635,-0.244,2017-08-09 16:00:008
9,1208,-76.298182,36.854069,0,0.0,0.0,0.0,2.602151871,1.8984585999999999,55.6777,18.0869,-0.9,10.625,71.878,7.0489999999999995,-0.88,0.635,-0.244,2017-08-09 16:00:009
10,1211,-76.27386899999999,36.854424,0,0.0,0.0,0.0,2.607614756,2.4830887319999997,1060.58,3.37751,1.73154,10.625,71.878,7.0489999999999995,-0.88,0.635,-0.244,2017-08-09 16:00:0010
11,1318,-76.191896,36.846022,0,0.0,0.0,0.0,2.382549047,3.3591105939999997,775.73,4.97851,7.98963,10.625,71.878,7.0489999999999995,-0.88,0.635,-0.244,2017-08-09 16:00:0011
12,1460,-76.286798,36.967086,0,0.0,0.0,0.0,0.9280650020000001,2.517119646,620.164,3.8279900000000002,1.2655,3.467,134.825,1.9969999999999999,-1.104,0.495,-0.447,2017-08-11 05:00:0012
13,1937,-76.256555,36.906347,0,0.0,0.0,0.0,0.585345685,2.8134434219999997,134.25799999999998,19.6809,3.05249,3.467,134.825,1.9969999999999999,-1.104,0.495,-0.447,2017-08-11 05:00:0013
14,2205,-76.223054,36.884541999999996,0,0.0,0.0,0.0,0.618511558,1.5979827640000002,2542.69,4.01893,10.8874,3.467,134.825,1.9969999999999999,-1.104,0.495,-0.447,2017-08-11 05:00:0014
15,2327,-76.193111,36.877229,0,0.0,0.0,0.0,0.603330791,2.618624449,977.721,3.8062300000000002,6.02502,3.467,134.825,1.9969999999999999,-1.104,0.495,-0.447,2017-08-11 05:00:0015
16,2359,-76.285726,36.874886,0,0.0,0.0,0.0,0.775458395,2.424161196,1478.3,7.91483,2.33985,3.467,134.825,1.9969999999999999,-1.104,0.495,-0.447,2017-08-11 05:00:0016
17,2375,-76.20675899999999,36.874315,0,0.0,0.0,0.0,0.6067084070000001,2.325194836,307.438,3.4720400000000002,3.4365900000000003,3.467,134.825,1.9969999999999999,-1.104,0.495,-0.447,2017-08-11 05:00:0017
18,2410,-76.2871,36.871846000000005,0,0.0,0.0,0.0,0.778126717,2.4203629490000003,2315.79,9.93094,2.4191700000000003,3.467,134.825,1.9969999999999999,-1.104,0.495,-0.447,2017-08-11 05:00:0018
19,2436,-76.29193199999999,36.868845,0,0.0,0.0,0.0,0.795117319,2.330275297,4171.66,3.60121,2.77149,3.467,134.825,1.9969999999999999,-1.104,0.495,-0.447,2017-08-11 05:00:0019
20,2462,-76.299262,36.865871000000006,0,0.0,0.0,0.0,0.823991239,2.16583395,2392.21,6.77923,2.00067,3.467,134.825,1.9969999999999999,-1.104,0.495,-0.447,2017-08-11 05:00:0020
21,2654,-76.298182,36.854069,0,0.0,0.0,0.0,0.771129251,1.8307307959999999,55.6777,18.0869,-0.9,3.467,134.825,1.9969999999999999,-1.104,0.495,-0.447,2017-08-11 05:00:0021
22,2657,-76.27386899999999,36.854424,0,0.0,0.0,0.0,0.7153335209999999,2.33331728,1060.58,3.37751,1.73154,3.467,134.825,1.9969999999999999,-1.104,0.495,-0.447,2017-08-11 05:00:0022
23,2764,-76.191896,36.846022,0,0.0,0.0,0.0,0.516185701,3.3702127930000003,775.73,4.97851,7.98963,3.467,134.825,1.9969999999999999,-1.104,0.495,-0.447,2017-08-11 05:00:0023
24,2906,-76.286798,36.967086,0,0.0,0.0,0.0,0.536022782,2.547283411,620.164,3.8279900000000002,1.2655,10.536,156.895,5.274,0.27399999999999997,1.765,1.127,2017-08-11 15:00:0024
25,3383,-76.256555,36.906347,0,0.0,0.0,0.0,0.323137075,2.869100809,134.25799999999998,19.6809,3.05249,10.536,156.895,5.274,0.27399999999999997,1.765,1.127,2017-08-11 15:00:0025
26,3651,-76.223054,36.884541999999996,0,0.0,0.0,0.0,0.31247443,1.642134666,2542.69,4.01893,10.8874,10.536,156.895,5.274,0.27399999999999997,1.765,1.127,2017-08-11 15:00:0026
27,3773,-76.193111,36.877229,0,0.0,0.0,0.0,0.259790301,2.668107748,977.721,3.8062300000000002,6.02502,10.536,156.895,5.274,0.27399999999999997,1.765,1.127,2017-08-11 15:00:0027
28,3805,-76.285726,36.874886,0,0.0,0.0,0.0,0.395014465,2.620141506,1478.3,7.91483,2.33985,10.536,156.895,5.274,0.27399999999999997,1.765,1.127,2017-08-11 15:00:0028
29,3821,-76.20675899999999,36.874315,0,0.0,0.0,0.0,0.290639043,2.3754527569999997,307.438,3.4720400000000002,3.4365900000000003,10.536,156.895,5.274,0.27399999999999997,1.765,1.127,2017-08-11 15:00:0029
30,3856,-76.2871,36.871846000000005,0,0.0,0.0,0.0,0.395615965,2.590348721,2315.79,9.93094,2.4191700000000003,10.536,156.895,5.274,0.27399999999999997,1.765,1.127,2017-08-11 15:00:0030
31,3882,-76.29193199999999,36.868845,0,0.0,0.0,0.0,0.401803494,2.4657130240000003,4171.66,3.60121,2.77149,10.536,156.895,5.274,0.27399999999999997,1.765,1.127,2017-08-11 15:00:0031
32,3908,-76.299262,36.865871000000006,0,0.0,0.0,0.0,0.41206529700000005,2.259623766,2392.21,6.77923,2.00067,10.536,156.895,5.274,0.27399999999999997,1.765,1.127,2017-08-11 15:00:0032
33,4100,-76.298182,36.854069,0,0.0,0.0,0.0,0.393821001,1.8577922580000001,55.6777,18.0869,-0.9,10.536,156.895,5.274,0.27399999999999997,1.765,1.127,2017-08-11 15:00:0033
34,4103,-76.27386899999999,36.854424,0,0.0,0.0,0.0,0.369888693,2.429535151,1060.58,3.37751,1.73154,10.536,156.895,5.274,0.27399999999999997,1.765,1.127,2017-08-11 15:00:0034
35,4210,-76.191896,36.846022,0,0.0,0.0,0.0,0.227341563,3.4113006589999997,775.73,4.97851,7.98963,10.536,156.895,5.274,0.27399999999999997,1.765,1.127,2017-08-11 15:00:0035
36,4352,-76.286798,36.967086,0,0.0,0.0,0.0,0.17555306899999998,2.562745333,620.164,3.8279900000000002,1.2655,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0036
37,4829,-76.256555,36.906347,0,0.0,0.0,0.0,0.27039212,2.886521816,134.25799999999998,19.6809,3.05249,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0037
38,5097,-76.223054,36.884541999999996,0,0.0,0.0,0.0,0.254381925,1.665214896,2542.69,4.01893,10.8874,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0038
39,5219,-76.193111,36.877229,0,0.0,0.0,0.0,0.21336624,2.680423498,977.721,3.8062300000000002,6.02502,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0039
40,5251,-76.285726,36.874886,0,0.0,0.0,0.0,0.235338837,2.631436586,1478.3,7.91483,2.33985,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0040
41,5267,-76.20675899999999,36.874315,0,0.0,0.0,0.0,0.239942983,2.3906993869999997,307.438,3.4720400000000002,3.4365900000000003,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0041
42,5302,-76.2871,36.871846000000005,0,0.0,0.0,0.0,0.234168947,2.601291418,2315.79,9.93094,2.4191700000000003,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0042
43,5328,-76.29193199999999,36.868845,0,0.0,0.0,0.0,0.231068462,2.475432873,4171.66,3.60121,2.77149,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0043
44,5354,-76.299262,36.865871000000006,0,0.0,0.0,0.0,0.22821261,2.2667377,2392.21,6.77923,2.00067,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0044
45,5546,-76.298182,36.854069,0,0.0,0.0,0.0,0.223646283,1.8582482340000002,55.6777,18.0869,-0.9,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0045
46,5549,-76.27386899999999,36.854424,0,0.0,0.0,0.0,0.24156591300000002,2.4401280880000003,1060.58,3.37751,1.73154,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0046
